script_id       ,part_no,unit_no,sentence_no,case_no,language,sentence
p7_u132_a1_1_k  ,7      ,132    ,a1         ,1      ,k       ,대학교 합격 축하해!
p7_u132_a1_1_e  ,7      ,132    ,a1         ,1      ,e       ,Congratulations!
p7_u132_b1_1_k  ,7      ,132    ,b1         ,1      ,k       ,축하해줘서 고마워
p7_u132_b1_1_e  ,7      ,132    ,b1         ,1      ,e       ,Thanks for celebrating!
p7_u132_a2_1_k  ,7      ,132    ,a2         ,1      ,k       ,전공이 뭐야?
p7_u132_a2_1_e  ,7      ,132    ,a2         ,1      ,e       ,What is your major?
p7_u132_b2_1_k  ,7      ,132    ,b2         ,1      ,k       ,컴퓨터공학과야
p7_u132_b2_2_k  ,7      ,132    ,b2         ,2      ,k       ,경영학과야
p7_u132_b2_3_k  ,7      ,132    ,b2         ,3      ,k       ,시각디자인학과야
p7_u132_b2_1_e  ,7      ,132    ,b2         ,1      ,e       ,Computer Science
p7_u132_b2_2_e  ,7      ,132    ,b2         ,2      ,e       ,Business..?
p7_u132_b2_3_e  ,7      ,132    ,b2         ,3      ,e       ,Visual Arts
p7_u132_a3_1_k  ,7      ,132    ,a3         ,1      ,k       ,입학 준비는 잘 하고 있어?
p7_u132_a3_1_e  ,7      ,132    ,a3         ,1      ,e       ,How's going?
p7_u132_b3_1_k  ,7      ,132    ,b3         ,1      ,k       ,응
p7_u132_b3_1_e  ,7      ,132    ,b3         ,1      ,e       ,Good
p7_u132_a4_1_k  ,7      ,132    ,a4         ,1      ,k       ,즐거운 대학 생활 되길 바랄게
p7_u132_a4_1_e  ,7      ,132    ,a4         ,1      ,e       ,Hope you have blah blah
p7_u234_a1_1_k  ,7      ,234    ,a1         ,1      ,k       ,다음 강의 끝나고 뭐해?
p7_u234_a1_1_e  ,7      ,234    ,a1         ,1      ,e       ,
p7_u234_b1_1_k  ,7      ,234    ,b1         ,1      ,k       ,나 3시간동안 공강이야
p7_u234_b1_1_e  ,7      ,234    ,b1         ,1      ,e       ,
p7_u234_a2_1_k  ,7      ,234    ,a2         ,1      ,k       ,공강 때 뭐하고 있을거야?
p7_u234_a2_1_e  ,7      ,234    ,a2         ,1      ,e       ,
p7_u234_b2_1_k  ,7      ,234    ,b2         ,1      ,k       ,도서관에서 과제할거야
